Date,Close/Last,Volume,Open,High,Low
03/15/2022,$143.95,5484130,$140,$144.73,$138.32
03/14/2022,$138.5,6330206,$143.41,$144.67,$136.04
03/11/2022,$145.14,4577255,$154.13,$155,$145
03/10/2022,$151.8,5302511,$145.22,$152.89,$144.4092
03/09/2022,$148.31,7023908,$145.43,$150.99,$145.33
03/08/2022,$142.13,9586994,$131.63,$144.47,$131.5
03/07/2022,$131.59,9177270,$145,$145.27,$131.52
03/04/2022,$142.7,8397063,$150.77,$151.8899,$140.46
03/03/2022,$151.69,4045757,$158.33,$159.22,$150.99
03/02/2022,$157.53,5028250,$152.48,$158.08,$151.89
03/01/2022,$151.01,5165768,$150.53,$154.22,$149.95
02/28/2022,$151.49,11078500,$155.025,$155.0964,$148.3
02/25/2022,$155.09,6173207,$159.26,$159.45,$152.91
02/24/2022,$158.26,10354650,$141.3,$158.96,$141.1795
02/23/2022,$150.04,9778477,$165.93,$166.655,$149.85
02/22/2022,$165.24,8392599,$172.13,$176.38,$161.32
02/18/2022,$174.9,8848753,$180.26,$182.66,$173.62
02/17/2022,$183.6,7779201,$184.9,$188.98,$181.54
02/16/2022,$186.64,22252850,$178.295,$191.73,$178
02/15/2022,$180.07,11733940,$172.92,$180.6322,$172.75
02/14/2022,$169.66,4847552,$166.63,$171.8,$165.03
02/11/2022,$166.53,6464397,$175.309,$176.74,$164.83
02/10/2022,$171.95,8261379,$165.245,$177.06,$165.245
02/09/2022,$169.53,4868311,$165.37,$170.07,$165.08
02/08/2022,$162.26,4309070,$154,$163.0791,$153.44
02/07/2022,$157.91,4690668,$156.79,$160.88,$155.95
02/04/2022,$155.56,4687701,$150.14,$157.24,$150
02/03/2022,$149.57,4577057,$147.97,$152.18,$146.68
02/02/2022,$151.76,3678315,$156.3129,$156.51,$150.7124
02/01/2022,$156.94,3799303,$155.35,$157.39,$152.5
01/31/2022,$153.97,5463016,$144.803,$153.97,$143.81
01/28/2022,$142.77,5604415,$138.545,$143.11,$134.3743
01/27/2022,$138.41,4493776,$143.48,$145.5479,$137.92
01/26/2022,$142.14,6990314,$149.285,$152.4,$140.0407
01/25/2022,$144.56,5704888,$143.9,$147.38,$140.13
01/24/2022,$147.9,14627350,$150,$151.16,$135.76
01/21/2022,$156.73,7242250,$156.815,$160.2,$152.41
01/20/2022,$158,4941879,$157.808,$165.2,$157.35
01/19/2022,$154.58,5127374,$157,$160.23,$154.44
01/18/2022,$154.69,5814071,$156.91,$160.79,$153.87
01/14/2022,$163.99,4144039,$165.75,$167.63,$160.24
01/13/2022,$166,4893757,$170.233,$171.99,$165.765
01/12/2022,$169.54,3534275,$170.24,$171.04,$165.11
01/11/2022,$168.61,5331629,$160.71,$169.39,$159.0776
01/10/2022,$160.71,6973588,$159.76,$161.7,$152.1
01/07/2022,$166.05,5624579,$159.18,$166.88,$158.455
01/06/2022,$159.75,5049594,$160.29,$163.73,$156.34
01/05/2022,$162.25,4804571,$169.883,$175.107,$162.24
01/04/2022,$170.8,4079976,$174.154,$175.9,$167.2
01/03/2022,$172.68,4241965,$165.297,$172.84,$165.22
12/31/2021,$166.49,2595979,$168.78,$170.87,$166.08
12/30/2021,$168.78,2181120,$167.06,$170.85,$165.71
12/29/2021,$167.44,1995405,$169.52,$170.4799,$165.02
12/28/2021,$169.71,2297204,$171.32,$172.73,$167.73
12/27/2021,$171.68,2726288,$169.806,$172.43,$168.78
